MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Red Dot,(2021),"
Drama, Horror, Thriller            ",5.5,"
When Nadja becomes pregnant, they make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip but soon their romantic trip turns into a nightmare.","
    Director:
Alain Darborg
| 
    Stars:
Nanna Blondell, 
Johannes Kuhnke, 
Anastasios Soulis, 
Anna Azcárate
","11,555",86.0,
Welcome Home,(I) (2018),"
Thriller            ",5.2,"
A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.","
    Director:
George Ratliff
| 
    Stars:
Emily Ratajkowski, 
Aaron Paul, 
Riccardo Scamarcio, 
Katy Louise Saunders
","6,846",97.0,
Tall Girl,(2019),"
Comedy, Drama, Family            ",5.2,"
Jodi, the tallest girl in her high school, has always felt uncomfortable in her own skin. But after years of slouching, being made fun of, and avoiding attention at all costs, Jodi finally decides to find the confidence to stand tall.","
    Director:
Nzingha Stewart
| 
    Stars:
Ava Michelle, 
Griffin Gluck, 
Sabrina Carpenter, 
Paris Berelc
","19,380",101.0,
The Real Housewives of New York City,(2008– ),"
Reality-TV            ",4.5,"
A fast-paced reality show that follows several incredibly busy and ambitious Manhattan women. Watch as they balance envious social calendars, challenging careers, and motherhood, with the hustle and bustle of the big city all around.","
            
    Stars:
Ramona Singer, 
Luann de Lesseps, 
Sonja Morgan, 
Bethenny Frankel
","3,254",44.0,
Cam,(2018),"
Drama, Horror, Mystery            ",5.9,"
Alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself.","
    Director:
Daniel Goldhaber
| 
    Stars:
Madeline Brewer, 
Patch Darragh, 
Melora Walters, 
Devin Druid
","28,739",94.0,
A Perfect Ending,(2012),"
Drama, Romance            ",5.7,"
Rebecca has a very unusual secret, one that not even her best friends know about. The last person on earth she expects to reveal it to is a high priced escort named Paris.","
    Director:
Nicole Conn
| 
    Stars:
Barbara Niven, 
Bryan Mordechai Jackson, 
Jessica Clark, 
John Heard
","4,044",110.0,
Das schaurige Haus,(2020),"
Drama, Family, Fantasy            ",5.4,"
Hendrik is sixteen, a big city kid, and vexed to learn that his mother is moving with him and his little brother Eddi to a village in the south of Austria. To make matters worse, the locals...                See full summary »
","
    Director:
Daniel Prochaska
| 
    Stars:
Marii Weichsler, 
Julia Koschitz, 
Leon Orlandianyi, 
Lars Bitterlich
","2,713",100.0,
Nightflyers,(2018),"
Drama, Horror, Mystery            ",5.9,"
A crew of scientists embarks on a mission aboard a ship called the Nightflyer to investigate a mysterious alien signal, but they soon begin to question if there is already something on the ship with them.","
            
    Stars:
Eoin Macken, 
David Ajala, 
Jodie Turner-Smith, 
Angus Sampson
","12,288",60.0,
Rim of the World,(2019),"
Action, Adventure, Comedy            ",5.2,"
Four misfit campers must band together and conquer their fears in order to save the world during an alien invasion.","
    Director:
McG
| 
    Stars:
Jack Gore, 
Miya Cech, 
Benjamin Flores Jr., 
Alessio Scalzotto
","20,693",98.0,
The Saint,(2017 TV Movie),"
Action, Adventure, Crime            ",4.9,"
International master thief, Simon Templar, also known as The Saint, is tasked to find a man's kidnapped daughter. In addition to evading the authorities, Simon must face a dangerous adversary from his past.","
    Director:
Ernie Barbarash
| 
    Stars:
Adam Rayner, 
Eliza Dushku, 
Ian Ogilvy, 
James Remar
","6,077",91.0,
Amar,(2017),"
Drama, Romance            ",5.2,"
Laura and Carlos love each other as if every day was the last, and perhaps that first love intensity is what will tear them apart a year later.","
    Director:
Esteban Crespo
| 
    Stars:
María Pedraza, 
Pol Monen, 
Natalia Tena, 
Greta Fernández
","4,083",105.0,
Maggie,(I) (2015),"
Drama, Horror, Sci-Fi            ",5.6,"
A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.","
    Director:
Henry Hobson
| 
    Stars:
Arnold Schwarzenegger, 
Abigail Breslin, 
Joely Richardson, 
Laura Cayouette
","42,895",95.0,$0.19M
Mirror Mirror,(I) (2012),"
Adventure, Comedy, Drama            ",5.6,"
An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.","
    Director:
Tarsem Singh
| 
    Stars:
Lily Collins, 
Julia Roberts, 
Armie Hammer, 
Nathan Lane
","85,615",106.0,$64.94M
A.N.T. Farm,(2011–2014),"
Comedy, Drama, Family            ",5.1,"
A musical prodigy gets into a gifted program called Advanced Natural Talents at the local high school.","
            
    Stars:
China Anne McClain, 
Sierra McCormick, 
Jake Short, 
Stefanie Scott
","6,347",30.0,
Órbita 9,(2017),"
Drama, Romance, Sci-Fi            ",5.9,"
Helena is a young girl who spent all her life in a space pod just after her birth, traveling from Earth to a distant planet where she will reunite with others space colonials, with the ...                See full summary »
","
    Director:
Hatem Khraiche
| 
    Stars:
Clara Lago, 
Álex González, 
Andrés Parra, 
Belén Rueda
","7,123",95.0,
Johnny Test,(2005– ),"
Animation, Action, Adventure            ",5.1,"
The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.","
            
    Stars:
James Arnold Taylor, 
Maryke Hendrikse, 
Lee Tockar, 
Ashleigh Ball
","7,357",30.0,
I Spit on Your Grave 2,(2013),"
Horror, Thriller            ",5.7,"
When Katie innocently accepts an offer to have new photos taken for her portfolio, the experience quickly turns into a nightmare of rape, torture and kidnapping. Now, she will have to find the strength to exact her brutal revenge.","
    Director:
Steven R. Monroe
| 
    Stars:
Jemma Dallender, 
Joe Absolom, 
Yavor Baharov, 
George Zlatarev
","28,118",106.0,$0.00M
Une fille facile,(2019),"
Comedy, Drama            ",5.6,"
Naima is 16 and lives in Cannes. She has given herself the summer to choose what she wants to do with her life. Then her cousin Sofia, with her alluring lifestyle, arrives to spend the holidays with her.","
    Director:
Rebecca Zlotowski
| 
    Stars:
Mina Farid, 
Zahia Dehar, 
Benoît Magimel, 
Nuno Lopes
","4,398",92.0,
Triple Threat,(2019),"
Action, Thriller            ",5.6,"
When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.","
    Director:
Jesse V. Johnson
| 
    Stars:
Tony Jaa, 
Tiger Hu Chen, 
Iko Uwais, 
Scott Adkins
","10,345",96.0,$0.08M
The Courier,(2019),"
Action, Crime, Drama            ",4.8,"
A courier in London discovers that one of the packages she's transporting is a bomb.","
    Director:
Zackary Adler
| 
    Stars:
Olga Kurylenko, 
Gary Oldman, 
Amit Shah, 
Alicia Agneson
","8,955",99.0,
Prime Time,(2021),"
Drama, Thriller            ",5.3,"
On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.","
    Director:
Jakub Piatek
| 
    Stars:
Bartosz Bielenia, 
Magdalena Poplawska, 
Andrzej Klak, 
Malgorzata Hajewska
","1,257",93.0,
Summertime,(2020– ),"
Drama, Romance            ",5.5,"
A modern love story, set during a summer on the Adriatic coast. An undeniable attraction unites Ale and Summer, two people from very different worlds.","
            
    Stars:
Rebecca Coco Edogamhe, 
Ludovico Tersigni, 
Amanda Campana, 
Andrea Lattanzi
","2,111",40.0,
Dangerous Lies,(2020),"
Drama, Mystery, Thriller            ",5.3,"
When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.","
    Director:
Michael M. Scott
| 
    Stars:
Nick Purcha, 
Carlos Joe Costa, 
Camila Mendes, 
Briana Skye
","15,360",96.0,
Hagane no renkinjutsushi,(2017),"
Action, Adventure, Fantasy            ",5.2,"
Two alchemist brothers go on a quest for the Philosopher's Stone after an attempt to revive their dead mother goes horribly wrong.","
    Director:
Fumihiko Sori
| 
    Stars:
Ryôsuke Yamada, 
Tsubasa Honda, 
Dean Fujioka, 
Ryûta Satô
","19,082",135.0,
Raketsonyeondan,(2021– ),"
Comedy, Drama, Sport            ",3.8000000000000007,"
A city kid is brought to the countryside by his father's new coaching gig; reviving a ragtag middle school badminton team on the brink of extinction.","
            
    Stars:
Kim Sang-kyung, 
Na-ra Oh, 
Tang Joon-sang, 
Sang-Yeon Son
","25,629",80.0,
The Letter for the King,(2020– ),"
Action, Adventure, Family            ",5.9,"
Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.","
            
    Stars:
Amir Wilson, 
Ruby Ashbourne Serkis, 
Thaddea Graham, 
Islam Bouakkaz
","6,661",,
Fast & Furious Spy Racers,(2019– ),"
Animation, Action, Crime            ",5.5,"
A team of teenage street racers are hired to infiltrate a criminal gang.","
            
    Stars:
Tyler Posey, 
Charlet Takahashi Chung, 
Jorge Diaz, 
Luke Youngblood
","1,148",23.0,
What Keeps You Alive,(2018),"
Horror, Thriller            ",5.7,"
Majestic mountains, a still lake and venomous betrayals engulf a female married couple attempting to celebrate their one-year anniversary.","
    Director:
Colin Minihan
| 
    Stars:
Hannah Emily Anderson, 
Brittany Allen, 
Martha MacIsaac, 
Joey Klein
","7,489",98.0,
Tau,(2018),"
Sci-Fi, Thriller            ",5.8,"
A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house.","
    Director:
Federico D'Alessandro
| 
    Stars:
Maika Monroe, 
Ed Skrein, 
Gary Oldman, 
Fiston Barek
","28,732",97.0,
El practicante,(2020),"
Action, Adventure, Crime            ",5.6,"
Angel works in an ambulance service. After a tragic accident, his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane.","
    Director:
Carles Torras
| 
    Stars:
Mario Casas, 
Déborah François, 
Guillermo Pfening, 
Maria Rodríguez Soto
","10,363",94.0,
Wasp Network,(2019),"
Crime, Drama, Thriller            ",5.9,"
The story of five Cuban political prisoners who had been imprisoned by the United States since the late 1990s on charges of espionage and murder.","
    Director:
Olivier Assayas
| 
    Stars:
Penélope Cruz, 
Edgar Ramírez, 
Gael García Bernal, 
Ana de Armas
","9,135",127.0,
Ride or Die,(III) (2021),"
Drama, Romance, Thriller            ",5.5,"
Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.","
    Director:
Ryuichi Hiroki
| 
    Stars:
Kiko Mizuhara, 
Honami Satô, 
Shinya Niiro, 
Shunsuke Tanaka
","1,261",142.0,
The Last Days of American Crime,(2020),"
Action, Crime, Drama            ",3.8000000000000007,"
In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.","
    Director:
Olivier Megaton
| 
    Stars:
Neels Clasen, 
Edgar Ramírez, 
Tony Caprari, 
Kate Normington
","10,337",148.0,
Earthquake Bird,(2019),"
Crime, Drama, Mystery            ",5.9,"
An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","
    Director:
Wash Westmoreland
| 
    Stars:
Alicia Vikander, 
Kiki Sukezane, 
Kenichi Masuda, 
Chiaki Kawamo
","13,305",107.0,
The Stand In,(2020),"
Comedy, Drama            ",4.7,"
THE STAND-IN is the story of a disaffected comedy actress and her ambitious stand-in trading places.","
    Director:
Jamie Babbit
| 
    Stars:
Drew Barrymore, 
Sarah Jes Austell, 
Michael Zegen, 
T.J. Miller
","2,636",101.0,
Honeymoon,(2014),"
Drama, Fantasy, Horror            ",5.7,"
A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.","
    Director:
Leigh Janiak
| 
    Stars:
Rose Leslie, 
Harry Treadaway, 
Ben Huber, 
Hanna Brown
","24,861",87.0,$0.01M
Point Blank,(2019),"
Action, Crime, Drama            ",5.7,"
An ER nurse and a career criminal are forced into an unlikely partnership in taking down a ring of corrupt cops threatening the lives of both their families.","
    Director:
Joe Lynch
| 
    Stars:
Frank Grillo, 
Stuart F. Wilson, 
Buster Reeves, 
Christian Cooke
","13,085",86.0,
Planes,(2013),"
Animation, Adventure, Comedy            ",5.7,"
A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.","
    Director:
Klay Hall
| 
    Stars:
Carlos Alazraqui, 
Dane Cook, 
Stacy Keach, 
Brad Garrett
","43,335",91.0,$90.29M
The F**k-It List,(2020),"
Comedy            ",5.1,"
After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.","
    Director:
Michael Duggan
| 
    Stars:
Eli Brown, 
Madison Iseman, 
Marcus Scribner, 
Karan Brar
","5,144",103.0,
Sentinelle,(2021),"
Action, Crime, Drama            ",4.7,"
Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.","
    Director:
Julien Leclercq
| 
    Stars:
Olga Kurylenko, 
Marilyn Lima, 
Michel Nabokoff, 
Martin Swabey
","6,853",80.0,
Little Evil,(2017),"
Comedy, Horror            ",5.7,"
Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist.","
    Director:
Eli Craig
| 
    Stars:
Evangeline Lilly, 
Owen Atlas, 
Adam Scott, 
Marcus Terrell Smith
","19,827",94.0,
